Image ID,Deviation of Widths (DW),Deviation of Heights (DH),Deviation of Areas (DA),Density,Vertical Projection Variance,Pixels Distribution,Major Horizontal Projection Difference,Bottom Line,Black Pixels Each Line,Vertical Edges,Major Vertical Edge
1.jpg,[0.0],[0.0],[0.0],0.0010956938739411,11.511696983794044,0.000540309533258,4294967295,0.0,0.3199426111908183,inf,0.1301369863013698
10.jpg,[0.0],[0.0],[0.0],1.1554816047328529e-05,0.0016611249691999,1.2417115752353044e-05,4294967295,0.0,0.0016638935108153,inf,0.2430555555555555
11.jpg,[0.0],[0.0],[0.0],7.489234225800412e-06,0.001308898275243,7.943127209182255e-06,4294967295,0.0,0.001310615989515,inf,0.1542857142857142
12.jpg,[0.0],[0.0],[0.0],0.000319941496412,0.0436584219744542,0.000343997248022,4294967295,0.0,0.0457516339869281,inf,0.1608391608391608
13.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,4294967295,0.0,0.0,inf,0.0898203592814371
13.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,4294967295,0.0,0.0,inf,0.1843971631205673
14.jpg,[0.0],[0.0],[0.0],8.615936035290874e-06,0.0020120642559833,9.00057603686636e-06,4294967295,0.0,0.002016129032258,inf,0.1794871794871795
15.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,4294967294,0.0,0.0,inf,0.2592592592592592
16.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,4294967291,0.0,0.0,inf,0.1575757575757575
17.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,4294967292,0.0,0.0,inf,0.2096774193548387
18.jpg,[0.0],[0.0],[0.0],0.0,0.0,0.0,4294967294,0.0,0.0,inf,0.2352941176470588
